,city,job_title,company_name,location,summary,salary
35,New+York,"Instagram - Software Engineer, Machine Learning",Facebook,"New York, NY","Machine learning, recommendation systems, pattern recognition, large-scale data mining or artificial intelligence....",nothing_found
36,New+York,"GSAM, Fixed Income, Distressed Research Analyst - Vice President",Goldman Sachs,"New York, NY 10282 (Tribeca area)",MORE ABOUT THIS JOB INVESTMENT MANAGEMENT We’re a team of trusted advisors who provide innovative investment solutions to help our clients meet their...,nothing_found
37,New+York,Research Analyst,Turner,"New York, NY","These applications provide Linear or Digital data, and can include the Nielsen Suite, Fusion data, NPower, Star Media, Adobe Analytics, comScore, MRI, Lake5, Ad...",nothing_found
38,New+York,Research Analyst,MDRC,"New York, NY 10016 (Gramercy area)",Develop operations and workstream management tools and qualitative data collection protocols; Contribute to research reports and help disseminate results to...,nothing_found
39,New+York,Research Analyst,Willis Towers Watson,"New York, NY",Enable client teams by providing just in time support for client data or research requests. The Research Analyst is responsible for providing overall sales...,nothing_found
40,New+York,Research Analyst,Omnicom Media Group,"New York, NY","Additionally, the Analyst should have an understanding of data analysis and interpretation, and will learn how to develop data insights and implications, as...",nothing_found
41,New+York,Research Analyst,Grey Healthcare Group.,"New York, NY","Position Summary The Research Analyst will be required to provide strong research support and reliable resource to the business unit, aiding the effective...",nothing_found
42,New+York,Sr. Data Scientist,Spotify,"New York, NY 10011 (Chelsea area)","Data Scientist to join our Forecasting team in New York. Extensive experience manipulating and analyzing complex data with SQL, Python and/or R....",nothing_found
43,New+York,Research Analyst,ValuePenguin,"New York, NY","Review and update in-house data for quality assurance purposes. Analysts will develop proficiency and participate in article writing, consumer research, data...",nothing_found
44,New+York,"Associate Researcher, Pharmacological Sciences",Mount Sinai Health System,"New York, NY 10029 (Yorkville area)","Assists in the collection, analysis and review of experimental data for publication and presentation....",nothing_found
45,New+York,"Product Manager, (Data)",Dailymotion,"New York, NY","Collaborate very closely with our Data Scientists and Data Engineers to develop and implement new ideas and strategies for optimization, based on mathematical...",nothing_found
46,New+York,Data Entry Analysis Associate,Cisive,"Holtsville, NY","At Cisive, our Part Time Data Entry Analysis Associates play a pivotal role in securing accurate pre-insurance and inspection information for our clients....",$11 an hour
47,New+York,CIB – CLO Research - Analyst,JP Morgan Chase,"New York, NY 10179 (Midtown area)","J.P. Morgan's Corporate & Investment Bank is a global leader across banking, markets and investor services. The world's most important corporations,...",nothing_found
48,New+York,CIB – Equity Research – Restaurants – Analyst,JP Morgan Chase,"New York, NY 10179 (Midtown area)","J.P. Morgan is a leader in financial services, offering innovative and intelligent solutions to clients in more than 100 countries with one of the most...",nothing_found
49,New+York,Physician Consultant - Healthcare Analytics & Delivery - New Ventures,McKinsey & Company,"New York, NY 10022 (Midtown area)","As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)...",nothing_found
50,New+York,"Engineering Resident, University Graduate (Fixed-Term Employee)",Google,"New York, NY 10011 (Chelsea area)","Experience in data structures, algorithms and complexity analysis. Many aspiring Computer Scientists could benefit from a program that bridges the gap between...",nothing_found
51,New+York,Sr. Data Scientist,Citi,"Long Island City, NY 11101","This user will lead junior Data Scientists as part of project teams supporting analytics in R, Python and SAS....",nothing_found
52,New+York,"Senior Manager, Data Analytics/Data Governance Office",Scotiabank,"New York, NY",Coordinate with teams of data scientists and analysts to drive development of POV prototypes. Acquiring the data required for analytics and enabling access...,nothing_found
53,New+York,Research Associate - In Vivo Pharmacology,Eli Lilly,"New York, NY","Data collection, analysis, and presentation to project leaders. Gathering animal study data utilizing electronic caliper capture software....",nothing_found
54,New+York,Audience Development Analyst,"New York, NY","New York, NY",Liaise with Vevo’s data scientists to design and prioritize experiments that can extend our understanding of Vevo channel performance....,nothing_found
55,New+York,"IMD, GSAM, US Fixed Income Municipal Research, Analyst/Associate -New York",Goldman Sachs,"New York, NY 10282 (Tribeca area)",Maintenance of internal portfolio management data base. MORE ABOUT THIS JOB....,nothing_found
56,New+York,"HCM, Organizational Research – Analyst/Associate – New York",Goldman Sachs,"New York, NY 10282 (Tribeca area)",Work with our data scientists to leverage various statistical techniques to create solutions for different HCM functions....,nothing_found
57,New+York,"Senior Analyst, Consumer Research & Reporting",Sony Music Entertainment,"New York, NY 10010 (Gramercy area)","Experience using SPSS and/or crosstab tools to interpret survey data. The Senior Analyst, Insights & Reporting is responsible for generating strategic insights...",nothing_found
58,New+York,"Global Investment Research, Research Curator, Business Analyst",Goldman Sachs,"New York, NY 10282 (Tribeca area)","Our analysts work on client-focused research in the equity, fixed-income, currency, and commodities markets, mining big data that enters markets around the...",nothing_found
59,New+York,Business Writer/Research Analyst,Levvel,"New York, NY","They will work directly with data analysts to create both short-form content (guides, small articles, blogs, slide decks, etc.)....",nothing_found
60,New+York,CIB – Global Research – FX Macro Strategist – Analyst,JP Morgan Chase,"New York, NY 10179 (Midtown area)","About J.P. Morgan’s Corporate & Investment Bank J.P. Morgan’s Corporate & Investment Bank is a global leader across banking, markets and investor services....",nothing_found
61,New+York,"Digital Analyst, CNN Money Research & Analytics",Turner,"New York, NY","Passion for learning new tools and visualizing data outputs. Collaborate with product managers, editors, designers and others to solve business problems through...",nothing_found
62,New+York,"Associate Research Analyst, CCB",Simons Foundation,"New York, NY 10010 (Gramercy area)",Main Functions and Responsibilities: The Simons Foundation is beginning a new computational science organization called the Flatiron Institute. The Flatiron...,nothing_found
63,New+York,Operations Analyst - Xtract Research,Acuris,"New York, NY",Collecting data on key features of loan and bond. Maintaining Xtract’s client-facing online databases of fixed income covenant data....,nothing_found
64,New+York,Editorial Research Analyst,Acuris,"New York, NY",Fully comfortable with MS Excel and related data analysis. Analyzing market data to identify trends and develop content themes....,nothing_found
65,New+York,Research Analyst,Nielsen,"New York, NY 10003 (Greenwich Village area)","Very strong quantitative, data tabulation, analytic thinking and data mining skills. Decide the best way to present the data....",nothing_found
66,New+York,"Software Engineer, Analytics",JW Player,"New York, NY 10018 (Clinton area)",Work with Data Scientists to extract meaningful metadata from our video content library. The Data Team is responsible for leveraging viewer event data and...,nothing_found
67,New+York,eCommerce Analytics Director/Data Scientist,UNTUCKit,"New York, NY","4+ years of relevant experience in data analysis, reporting, modeling or similar work. He/She is detailed oriented and meticulous about capturing accurate data...",nothing_found
68,New+York,Research Intern,Oath Inc,"New York, NY","Guided by staff scientists, deep dive into web-scale data to find patterns and gain knowledge through innovation and application of scalable algorithms....",nothing_found
69,New+York,"GSAM, Junior High Yield Research Analyst, Analyst/Associate",Goldman Sachs,"New York, NY 10282 (Tribeca area)","MORE ABOUT THIS JOB Goldman Sachs Asset Management (GSAM) delivers innovative investment solutions through a global, multi-product platform that offers...",nothing_found
